"동별(1)",동별(2),2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"영등포구",당산2동,18862,10163,3316,2761,2076,421,91,25,7,0,2
"영등포구",양평1동,10094,5595,2158,1323,803,164,38,11,0,2,0
"영등포구",양평2동,11372,5457,2530,1829,1284,217,43,9,2,1,0
"영등포구",신길1동,11678,7532,2089,1154,724,151,23,4,0,1,0
"영등포구",신길3동,7783,3341,1967,1354,922,162,31,5,1,0,0
"영등포구",신길4동,5700,2418,1425,1029,660,134,26,4,3,1,0
"영등포구",신길5동,4447,1867,1122,766,535,124,22,7,1,0,3
"영등포구",신길6동,9172,4562,2154,1305,904,191,38,8,5,2,3
"영등포구",신길7동,7869,2221,2011,1751,1510,313,44,16,3,0,0
"영등포구",대림1동,6783,3202,1744,1043,628,126,30,8,1,0,1
"영등포구",대림2동,6836,3999,1628,749,335,89,24,8,2,2,0
"영등포구",대림3동,10251,4381,2769,1781,1016,240,49,12,2,1,0
"영등포구",영등포본동,10335,5061,2274,1635,1081,226,45,10,1,0,2
"영등포구",영등포동,22396,17163,2898,1362,798,135,30,8,1,1,0
"영등포구",도림동,9911,5460,2302,1237,708,154,38,10,1,1,0
"영등포구",문래동,13004,4039,3191,2939,2275,432,91,23,11,0,3
"동작구",소계,187337,90836,40626,29484,20907,4243,917,234,54,18,18
"동작구",노량진2동,5529,4086,861,352,177,40,8,4,0,1,0
"동작구",상도1동,23054,12301,4385,3370,2438,444,79,28,5,1,3
"동작구",상도2동,12415,5088,2841,2302,1765,332,73,9,4,0,1
"동작구",상도3동,12213,6161,2792,1805,1136,239,66,10,1,2,1
"동작구",상도4동,14762,7115,3484,2325,1465,294,63,10,3,0,3
"동작구",사당1동,13935,9010,2694,1344,710,135,28,9,2,2,1
"동작구",사당3동,10384,3865,2612,2038,1486,265,80,30,6,2,0
"동작구",사당4동,7277,3799,1690,979,635,132,24,13,5,0,0
"동작구",사당5동,6689,2842,1661,1227,786,134,34,3,1,0,1
"동작구",대방동,16146,7483,3212,2602,2249,469,93,25,6,4,3
"동작구",신대방1동,10423,4319,2277,1860,1547,334,65,15,5,1,0
"동작구",신대방2동,10955,5352,2259,1659,1294,314,58,16,3,0,0
"동작구",흑석동,12970,4643,2969,2808,2047,394,79,20,5,3,2
"동작구",노량진1동,18060,10205,3540,2322,1532,350,85,17,5,2,2
"동작구",사당2동,12525,4567,3349,2491,1640,367,82,25,3,0,1
"관악구",소계,288964,183438,52477,28985,18656,4150,949,211,69,19,10
"관악구",보라매동,12996,7366,2857,1526,933,234,55,17,3,4,1
"관악구",청림동,6345,2140,1780,1349,863,162,38,10,3,0,0
"관악구",행운동,18326,12500,3024,1538,994,208,49,10,2,1,0
"관악구",낙성대동,12426,9495,1589,720,459,118,36,7,1,1,0
"관악구",중앙동,10517,7723,1585,672,420,87,21,7,1,0,1
"관악구",인헌동,14972,9354,2843,1516,979,222,37,14,6,0,1
"관악구",남현동,9796,5690,2005,1157,725,155,49,9,3,2,1
"관악구",서원동,15467,10957,2624,1104,591,137,43,8,2,1,0
"관악구",신원동,11356,7758,2085,867,512,94,36,3,1,0,0
